,該年排名,片名,link,產地,發行商,票房（港元）,2023dollars,
2002,3,天下無雙,https://zh.wikipedia.org/wiki/%E5%A4%A9%E4%B8%8B%E7%84%A1%E9%9B%99_(%E9%9B%BB%E5%BD%B1),中國大陸、香港,春光映畫,"$13,051,225",67.6,"$193,065"
1998,3,98古惑仔：龍爭虎鬥,https://zh.wikipedia.org/wiki/98%E5%8F%A4%E6%83%91%E4%BB%94%EF%BC%9A%E9%BE%8D%E7%88%AD%E8%99%8E%E9%AC%A5,香港,嘉樂影片發行,"$12,875,420",76.7,"$167,867"
2009,3,游龍戲鳳,https://zh.wikipedia.org/wiki/%E6%B8%B8%E9%BE%8D%E6%88%B2%E9%B3%B3_(2009%E5%B9%B4%E9%9B%BB%E5%BD%B1),香港,寰亞電影發行,"$12,613,830",72.3,"$174,465"
2012,3,八星抱喜,https://zh.wikipedia.org/wiki/%E5%85%AB%E6%98%9F%E6%8A%B1%E5%96%9C,香港,天馬影視文化,"$12,105,232",81.1,"$149,263"
2020,2,家有囍事2020,https://zh.wikipedia.org/wiki/%E5%AE%B6%E6%9C%89%E5%9B%8D%E4%BA%8B2020,香港,東方影業,"$11,976,434",99.9,"$119,884"
1992,6,逃學英雄傳,https://zh.wikipedia.org/wiki/%E9%80%83%E5%AD%B8%E8%8B%B1%E9%9B%84%E5%82%B3,香港,嘉樂影片發行,"$11,455,018",51.3,"$223,295"
2019,4,如珠如寶,https://zh.wikipedia.org/wiki/%E5%A6%82%E7%8F%A0%E5%A6%82%E5%AF%B6,香港,無限動力實業,"$11,292,769",99.6,"$113,381"
1992,7,嘩！英雄,https://zh.wikipedia.org/wiki/%E5%98%A9%EF%BC%81%E8%8B%B1%E9%9B%84,香港,金公主娛樂,"$11,248,503",51.3,"$219,269"
1993,6,東方不敗之風雲再起,https://zh.wikipedia.org/wiki/%E6%9D%B1%E6%96%B9%E4%B8%8D%E6%95%97%E4%B9%8B%E9%A2%A8%E9%9B%B2%E5%86%8D%E8%B5%B7,香港,金聲院線,"$11,248,503",55.9,"$201,225"
1996,5,運財至叻星,https://zh.wikipedia.org/wiki/%E9%81%8B%E8%B2%A1%E8%87%B3%E5%8F%BB%E6%98%9F_(%E9%9B%BB%E5%BD%B1),香港,金聲院線,"$11,085,240",70.5,"$157,237"
2006,2,春田花花同學會,https://zh.wikipedia.org/wiki/%E6%98%A5%E7%94%B0%E8%8A%B1%E8%8A%B1%E5%90%8C%E5%AD%B8%E6%9C%83,香港,嘉樂影片發行,"$10,653,570",67.6,"$157,597"
